才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
深夜ラーメン,https://dabimas.jp/kouryaku/abilities/4211653693.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1800、2400m 東京競馬場、中京競馬場 コンディションが好調以上 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
新涼灯火,https://dabimas.jp/kouryaku/abilities/6417165213.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなる,・1800～2410m ・阪神競馬場、メイダン競馬場 ・騎乗指示：追込,・自分,100%
慈愛の祝歌,https://dabimas.jp/kouryaku/abilities/8467539612.html,・常時、脚が少し速くなり、 根性がつく,・天候が晴 ・馬場状態が良 ・中山競馬場、阪神競馬場、 中京競馬場,・自分,40%〜100%
地固め,https://dabimas.jp/kouryaku/abilities/8614636221.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつく,・皐月賞、日本ダービー、 菊花賞,・自分,50%〜100%
時空恋慕♪,https://dabimas.jp/kouryaku/abilities/3126740253.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） スタートから50m以降で、 やや長い時間、脚が速くなり、 持久力が上がる,・条件1 1200、1800、2400、3200m 東京競馬場、京都競馬場、 中京競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
自動階段,https://dabimas.jp/kouryaku/abilities/1144728356.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200～2000m 中山競馬場、東京競馬場、 シャティン競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
寂滅,https://dabimas.jp/kouryaku/abilities/4315488265.html,・常時、脚が少し速くなり スタミナが少し増え 気性が穏やかになる,・皐月賞、日本ダービー、 菊花賞,・自分,50%〜100%
鵲橋相会★,https://dabimas.jp/kouryaku/abilities/2960144543.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで325m以内で、 やや長い時間、脚が速くなる,・条件1 馬場状態が良、重 1800～2200m 中山競馬場、新潟競馬場、 京都競馬場、中京競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
重圧,https://dabimas.jp/kouryaku/abilities/8468537712.html,・ゴールまで400m以内で、やや長い時間 対象の脚を遅くする,・2000～3600m ・中山競馬場 ・重賞レース ・7番手以下にいる時,・自分より順位の高い相手へ ・相手競走馬1頭,20%〜80%
十月桜,https://dabimas.jp/kouryaku/abilities/3452581186.html,・効果1 常時、気性が穏やかになる ・効果2 最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・桜花賞、オークス、 秋華賞 ・コンディションが絶好調,・効果1 自分 ・効果2 自分,80%〜100%
重戦車,https://dabimas.jp/kouryaku/abilities/7162546934.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・1800～2200m ・中山競馬場、阪神競馬場、 中京競馬場 ・騎乗指示：先行,・自分,100%
十二刻,https://dabimas.jp/kouryaku/abilities/5812364277.html,・常時、脚が少し速くなり、 スタミナが少し増える,・2400m,・自分,100%
柔の拳,https://dabimas.jp/kouryaku/abilities/4217622673.html,・効果1（条件を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件を満たすと発揮） ゴールまで200m以内で、やや長い時間 脚が速くなる,・馬場状態が稍重、重、不良 ・2400～2500m ・芝レース,・効果1 自分 ・効果2 自分,100%
重力崩壊,https://dabimas.jp/kouryaku/abilities/2765144513.html,・ゴールまで350m以内で、 長い時間、脚が少し速くなり、 スタミナが少し増える,・天候が晴、曇 ・2200、2500、3200m ・騎乗指示：逃げ,・自分,100%
純情可憐♪,https://dabimas.jp/kouryaku/abilities/7865243135.html,・効果1 常時、脚が少し速くなり、 気性が穏やかになる ・効果2 ゴールまで350m以内で、 やや長い時間、脚が速くなる,・1200～2000m ・阪神競馬場、京都競馬場、 シャティン競馬場,・効果1 自分 ・効果2 自分,100%
順応,https://dabimas.jp/kouryaku/abilities/6598231422.html,・ゴールまで200m以内で、 短い時間脚が速くなる,・函館競馬場、札幌競馬場、 ロンシャン競馬場 ・芝レース,・自分,100%
上巳,https://dabimas.jp/kouryaku/abilities/4264175323.html,・ゴールまで325m以内で、 やや長い時間、脚が速くなる,・1200～2000m ・中山競馬場、東京競馬場、 中京競馬場 ・騎乗指示：逃げ、先行,・自分,100%
常勝軍,https://dabimas.jp/kouryaku/abilities/3126741351.html,・最後の直線で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・1600～2200m ・東京競馬場、京都競馬場、 シャティン競馬場,・自分,100%
女傑,https://dabimas.jp/kouryaku/abilities/4762591738.html,・常時、脚が速くなる,・ヴィクトリアマイル,・自分,100%
迅空吐月,https://dabimas.jp/kouryaku/abilities/9775456231.html,・効果1 常時、スタミナが少し増え、 気性が穏やかになる ・効果2 ゴールまで200m以内で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・1800～3200m ・中山競馬場、京都競馬場、 中京競馬場、大井競馬場,・効果1 自分 ・効果2 自分,50%〜100%
沈丁花,https://dabimas.jp/kouryaku/abilities/7595476231.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなる,・馬場状態が良、稍重 ・1800～2500m ・中山競馬場、阪神競馬場、 中京競馬場、大井競馬場,・自分,100%
人馬一体,https://dabimas.jp/kouryaku/abilities/5712364683.html,・鞭を入れた時に、やや長い時間 脚が少し速くなる,・騎手が武豊騎手,・自分,100%
人馬二体,https://dabimas.jp/kouryaku/abilities/5212364985.html,・鞭を入れた時、 やや長い時間脚が速くなる,・騎手が武豊騎手,・自分,100%
誰何,https://dabimas.jp/kouryaku/abilities/2863142543.html,・最後の直線で、やや長い時間、 脚が少し速くなり、スタミナが増える,・天候が晴、曇 ・馬場状態が稍重、重、不良 ・2400～3200m,・自分,50%〜100%
水源郷,https://dabimas.jp/kouryaku/abilities/4217654533.html,・ゴールまで500m以内で、 長い時間、脚が少し速くなる,・2000～2500m ・中山競馬場、阪神競馬場、 京都競馬場,・自分,100%
水天一碧,https://dabimas.jp/kouryaku/abilities/7315447267.html,・ゴールまで400m以内で、 やや長い時間、脚が少し速くなる,・芝レース ・年齢が3歳以上 ・騎乗指示：逃げ,・自分,40%〜70%
翠翼疾走,https://dabimas.jp/kouryaku/abilities/2769141503.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで150m以内で、 やや長い時間、脚が速くなる,・条件1 天候が晴、曇 1600～2000m 東京競馬場、京都競馬場、 シャティン競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,60%〜100%
末広がり★,https://dabimas.jp/kouryaku/abilities/7265243186.html,・常時、脚が少し速くなり、 根性がつき、気性が穏やかになる,・1600～2400m ・ロンシャン競馬場、シャティン競馬場,・自分,100%
掬い金魚♪,https://dabimas.jp/kouryaku/abilities/5417265213.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 2000～2500m 中山競馬場、東京競馬場、 京都競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
朱雀炎舞,https://dabimas.jp/kouryaku/abilities/5614531248.html,・ゴールまで500m以内で、 短い時間、脚が速くなり、 スタミナが少し増える,・天候が晴、曇 ・2000～3200m ・阪神競馬場、新潟競馬場、 福島競馬場、京都競馬場 ・騎乗指示：逃げ、先行,・自分,70%〜100%
涼色はむリン,https://dabimas.jp/kouryaku/abilities/3126840351.html,・効果1 常時、気性が穏やかになる ・効果2 最後の直線で、短い時間、 脚が速くなる,・天候が晴 ・馬場状態が良 ・2400、2410m ・東京競馬場、メイダン競馬場、 シャティン競馬場 ・芝レース,・効果1 自分 ・効果2 自分,60%〜100%
涼風,https://dabimas.jp/kouryaku/abilities/5612364882.html,・ゴールまで200m以内で、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・1600～1800m ・騎乗指示：逃げ,・自分,100%
夏火星♪,https://dabimas.jp/kouryaku/abilities/5315447269.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 1600～2400m 中山競馬場、阪神競馬場、 シャティン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
星光フライ★,https://dabimas.jp/kouryaku/abilities/6537731442.html,・ゴールまで200m以内で、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・馬場状態が良、稍重 ・2000～2200m ・東京競馬場、阪神競馬場、 京都競馬場、大井競馬場,・自分,100%
素直な想い★,https://dabimas.jp/kouryaku/abilities/7214759364.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が非常に速くなり、 競り合いで疲れづらくなる,・条件1 大阪杯、宝塚記念、 マイルチャンピオンシップ ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
純雪天使♪,https://dabimas.jp/kouryaku/abilities/5704523612.html,・最後の直線で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える,・東京競馬場、福島競馬場、 函館競馬場、札幌競馬場、 ロンシャン競馬場 ・騎乗指示：差し、追込,・自分,60%〜100%
雪結晶,https://dabimas.jp/kouryaku/abilities/3126741252.html,・常時、脚が少し速くなり、 スタミナが少し増える,・天候が晴、雪 ・1200～2000m ・中山競馬場、東京競馬場,・自分,100%
白雪結晶♪,https://dabimas.jp/kouryaku/abilities/4217640583.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなり、 持久力が上がる,・条件1 2000～3200m 中山競馬場、阪神競馬場、 京都競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
雪車,https://dabimas.jp/kouryaku/abilities/4315477267.html,・常時、脚が少し速くなる,・1600、2000、3000、3200m ・東京競馬場、京都競馬場 ・コンディションが好調以上,・自分,100%
吊絞鋭刃,https://dabimas.jp/kouryaku/abilities/1074626366.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増え、 競り合いで疲れづらくなる,・中山競馬場、京都競馬場 ・騎乗指示：差し、追込,・自分,50%〜100%
吊絞鋭刃,https://dabimas.jp/kouryaku/abilities/0264175372.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増え、 競り合いで疲れづらくなる,・中山競馬場、京都競馬場 ・騎乗指示：差し、追込,・自分,50%〜100%
澄んだ心♪,https://dabimas.jp/kouryaku/abilities/0264195370.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 長い時間、脚が速くなる,・条件1 1200～2000m 京都競馬場、中京競馬場、 メイダン競馬場、大井競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
寸歩不離,https://dabimas.jp/kouryaku/abilities/2408565213.html,・鞭を入れた時に、やや長い時間 脚が少し速くなる,・騎手が内田騎手,・自分,100%
瑞雲,https://dabimas.jp/kouryaku/abilities/3452541676.html,・スタートから150m以降で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・1800～2200m ・中山競馬場、阪神競馬場、 京都競馬場 ・騎乗指示：逃げ、先行,・自分,100%
征安,https://dabimas.jp/kouryaku/abilities/2671437758.html,・常時、脚が速くなる,・安田記念,・自分,100%
盛運,https://dabimas.jp/kouryaku/abilities/2681436758.html,・効果1 常時、スタミナが少し増える ・効果2 ゴールまで200m以内で、 やや長い時間、脚が少し速くなり、 スタミナが増える,・天候が晴 ・馬場状態が良 ・1600～2000m ・ダートレース,・効果1 自分 ・効果2 自分,100%
声援エナジー★,https://dabimas.jp/kouryaku/abilities/2671436957.html,・ゴールまで200m以内で、 短い時間、脚が非常に速くなり、 競り合いで疲れづらくなる,・天候が晴、曇、雨 ・2000～3000m ・中山競馬場、東京競馬場、 京都競馬場 ・コンディションが絶好調,・自分,100%
清艶高雅♪,https://dabimas.jp/kouryaku/abilities/9214059369.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで275m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 2400m 東京競馬場、シャティン競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
盛夏,https://dabimas.jp/kouryaku/abilities/6559031472.html,・ゴールまで250m以内で、 やや長い時間、脚が少し速くなる,・1800～3000m ・阪神競馬場、福島競馬場,・自分,100%
青眼舞人,https://dabimas.jp/kouryaku/abilities/6507831462.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） スタート時に、 やや長い時間、脚が少し速くなる ・効果3（条件1、2を満たすと発揮） スタート時に、 短い時間、以下のどれかを発揮する スタミナが少し増える 何も起こらない,・条件1 1600、1800、2500m 一定以上の人気度がある ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
聖響の祝祭★,https://dabimas.jp/kouryaku/abilities/5182546736.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 短い時間、脚が少し速くなり、 スタミナが少し増える ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・条件1 天候が晴、雪 馬場状態が良、不良 2200～2410m 東京競馬場、阪神競馬場、 メイダン競馬場 ・条件2 騎乗指示：先行、差し,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
晴耕雨読,https://dabimas.jp/kouryaku/abilities/1614532287.html,・スタートから100m以降で、 長い時間、脚が少し速くなる,・天候が晴、雨 ・2000～2200m ・阪神競馬場、京都競馬場,・自分,50%〜100%
制裁特訓‥！,https://dabimas.jp/kouryaku/abilities/0281562403.html,・鞭を入れた時に、やや長い時間 脚が少し速くなり、スタミナが少し増える,・1000～1200m ・芝レース ・年齢が4歳、5歳,・自分,30%〜50%
精神一到,https://dabimas.jp/kouryaku/abilities/9469535712.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 馬場状態が良、稍重 2000～3200m 京都競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
清声朗々,https://dabimas.jp/kouryaku/abilities/1714824356.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴 阪神競馬場 ・条件2 騎乗指示：差し 7番手以上にいる時,・効果1 自分 ・効果2 自分,100%
清声朗々,https://dabimas.jp/kouryaku/abilities/2614532277.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴 阪神競馬場 ・条件2 騎乗指示：差し 7番手以上にいる時,・効果1 自分 ・効果2 自分,100%
星霜,https://dabimas.jp/kouryaku/abilities/3452951086.html,・効果1 常時、スタミナが少し増える ・効果2 ゴールから100m以内で、 短い時間、脚が速くなる,・中山競馬場、阪神競馬場、 新潟競馬場、福島競馬場、 函館競馬場、札幌競馬場、 メイダン競馬場、大井競馬場 ・年齢が4歳,・自分,50%〜100%
聖誕★賛歌,https://dabimas.jp/kouryaku/abilities/8475496231.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1600～2000m 中山競馬場、東京競馬場、 阪神競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
清風明月,https://dabimas.jp/kouryaku/abilities/3172546739.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 2000～2500m 中山競馬場、阪神競馬場、 京都競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
聖夜奇跡,https://dabimas.jp/kouryaku/abilities/3452541586.html,・効果1 最後の直線で、 短い時間、以下のどれかを発揮する 脚が少し速くなる スタミナが少し増える ・効果2 最後の直線で、 短い時間、以下のどれかを発揮する 脚が少し速くなる スタミナが少し増える ・効果3 最後の直線で、 短い時間、以下のどれかを発揮する 脚が速くなる 競り合いで疲れやすくなる ※効果1～3は重複して発揮します,・天候が晴、雪 ・馬場状態が良、不良 ・阪神競馬場、メイダン競馬場、 大井競馬場 ・4番人気以下の時,・効果1 自分 ・効果2 自分 ・効果3 自分,50%〜100%
聖夜祝宴♪,https://dabimas.jp/kouryaku/abilities/8192546732.html,・効果1 常時、脚が少し速くなり、 根性がつく ・効果2 ゴールまで350m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・馬場状態が良、稍重 ・1600～2000m ・阪神競馬場、メイダン競馬場,・効果1 自分 ・効果2 自分,100%
声誉,https://dabimas.jp/kouryaku/abilities/8665243118.html,・最後の直線で、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・天候が晴 ・1600～2000m ・中山競馬場、阪神競馬場,・自分,50%〜100%
青龍泳舞,https://dabimas.jp/kouryaku/abilities/5912364573.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなる,・条件1 1800～2410m 阪神競馬場、中京競馬場、 ロンシャン競馬場、メイダン競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
清涼煌々★,https://dabimas.jp/kouryaku/abilities/4437165213.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200～1600m 中山競馬場、東京競馬場、 中京競馬場、シャティン競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
清涼優美★,https://dabimas.jp/kouryaku/abilities/0614530299.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 2000～2500m 中山競馬場、京都競馬場、 メイダン競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
惜春,https://dabimas.jp/kouryaku/abilities/6549731412.html,・ゴールまで350m以内で、 やや長い時間、脚が速くなる,・1800～2400m ・東京競馬場、中京競馬場、 大井競馬場 ・騎乗指示：追込,・自分,100%
積水成淵,https://dabimas.jp/kouryaku/abilities/2457165213.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 1600、2200、2400m 阪神競馬場、京都競馬場、 シャティン競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
刹活孔,https://dabimas.jp/kouryaku/abilities/1614637227.html,・ゴールまで250m以内で、短い時間 脚が少し速くなるが、スタミナが減る,・馬場状態が重、不良 ・京都競馬場,・自分,100%
雪月花,https://dabimas.jp/kouryaku/abilities/5214759366.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなる,・1200、2400、3200m ・中山競馬場、東京競馬場、 京都競馬場 ・コンディションが好調以上,・自分,100%
刹那,https://dabimas.jp/kouryaku/abilities/3452271586.html,・ゴールまで100m以内で、短い時間 脚が少し速くなる,・天候が雨 ・先頭の騎乗指示：逃げ ・先頭との距離が2馬身差以内,・自分,100%
雪狼,https://dabimas.jp/kouryaku/abilities/1725849638.html,・常時、脚が少し速くなり、 スタミナが増える,・メイダン競馬場、大井競馬場 ・ダートレース,・自分,100%
背中ジャンプ,https://dabimas.jp/kouryaku/abilities/6104323619.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 1600、2000、3000、3200m 阪神競馬場、京都競馬場 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
迫る影,https://dabimas.jp/kouryaku/abilities/5461266213.html,・最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・1600～2200m ・東京競馬場、阪神競馬場、 大井競馬場 ・騎乗指示：追込,・自分,100%
蝉時雨,https://dabimas.jp/kouryaku/abilities/3417465213.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなる,・1200、2000、2200m ・中山競馬場、東京競馬場、 阪神競馬場 ・騎乗指示：差し,・自分,100%
先鋭,https://dabimas.jp/kouryaku/abilities/2415361701.html,・ゴールまで200m以内で、 短い時間、脚が速くなる,・1200、1600m ・芝レース,・自分,50%〜80%
先駆,https://dabimas.jp/kouryaku/abilities/3126840252.html,・スタート時に、短い時間 脚が速くなる,・2000～3200m ・東京競馬場、阪神競馬場、 京都競馬場 ・イレ込んでいない ・騎乗指示：逃げ,・自分,50%〜100%
千軍万馬,https://dabimas.jp/kouryaku/abilities/5612364576.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで450m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1600m 東京競馬場、京都競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
千載一遇,https://dabimas.jp/kouryaku/abilities/7975456231.html,・効果1 常時、脚が少し速くなり、 根性がつく ・効果2 最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・天候が晴 ・馬場状態が良 ・有馬記念,・効果1 自分 ・効果2 自分,60%〜80%
選士,https://dabimas.jp/kouryaku/abilities/7214758365.html,・常時、脚が速くなる,・マイルチャンピオンシップ,・自分,100%
千紫万紅,https://dabimas.jp/kouryaku/abilities/2315497267.html,・効果1 常時、根性がつく ・効果2 ゴールまで200m以内で、 短い時間、脚が速くなり、 スタミナが増える,・天候が晴、曇 ・馬場状態が良、稍重 ・2400m ・東京競馬場 ・年齢が3歳,・効果1 自分 ・効果2 自分,40%〜100%
専心凝,https://dabimas.jp/kouryaku/abilities/5714523611.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなる,・2000、2400m ・中山競馬場、東京競馬場 ・騎乗指示：追込,・自分,100%
先陣,https://dabimas.jp/kouryaku/abilities/4152546839.html,・スタートから50m以降で、 短い時間、脚が少し速くなる,・2500m ・芝レース ・騎乗指示：逃げ,・自分,50%
千尋絞り,https://dabimas.jp/kouryaku/abilities/3126743151.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴 2400m コンディションが絶好調 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
千手繚乱,https://dabimas.jp/kouryaku/abilities/7264175320.html,・スタートから200m以降で、 短い時間、脚が速くなり、 スタミナが増える,・2000～3200m ・中山競馬場、阪神競馬場、 京都競馬場 ・騎乗指示：逃げ、先行,・自分,60%〜100%
船頭,https://dabimas.jp/kouryaku/abilities/6568631412.html,・常時、気性が穏やかになり 脚が少し速くなる,・中山競馬場,・自分,100%
千里の道,https://dabimas.jp/kouryaku/abilities/5614636251.html,・効果1 常時、スタミナが少し増える ・効果2 ゴールまで275m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・馬場状態が良 ・1600～2410m ・ロンシャン競馬場、メイダン競馬場、 シャティン競馬場 ・芝レース,・効果1 自分 ・効果2 自分,100%
閃烈の息吹,https://dabimas.jp/kouryaku/abilities/7665243182.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで600m以内で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・条件1 2500～3200m 中山競馬場、京都競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
千恋万華,https://dabimas.jp/kouryaku/abilities/3452491276.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が少し速くなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・条件1 天候が晴 2000～2400m 東京競馬場、メイダン競馬場、 大井競馬場 ・条件2 騎乗指示：先行、差し,・効果1 自分 ・効果2 自分 ・効果3 自分,50%〜100%
全身全霊,https://dabimas.jp/kouryaku/abilities/3452251786.html,・最終コーナーで 短い時間、脚が少し速くなり、 スタミナが少し増える,・有馬記念 ・コンディションが絶好調 ・騎乗指示：逃げ,・自分,100%
前途有望,https://dabimas.jp/kouryaku/abilities/2671436759.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 天候が晴 ＮＨＫマイルカップ、ヴィクトリアマイル、 安田記念、マイルチャンピオンシップ、 香港マイル ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
全力エール！,https://dabimas.jp/kouryaku/abilities/4217639503.html,・最後の直線で、 やや長い時間、脚が速くなる,・1600、2400、3200m ・東京競馬場、京都競馬場 ・芝レース ・コンディションが絶好調,・自分,80%〜100%
草偃風従,https://dabimas.jp/kouryaku/abilities/8865243161.html,・スタート時に、 短い時間、脚が速くなる,・阪神競馬場、京都競馬場、 中京競馬場、ロンシャン競馬場、 メイダン競馬場、シャティン競馬場 ・芝レース ・騎乗指示：逃げ,・自分,50%〜100%
爽海★青空,https://dabimas.jp/kouryaku/abilities/5714323613.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1200、2000、3000m 東京競馬場、京都競馬場、 中京競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
蒼穹,https://dabimas.jp/kouryaku/abilities/6264185311.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつく,・1600、2000、2400m ・芝レース ・GI/JpnIレース,・自分,50%〜100%
霜剣斬牙,https://dabimas.jp/kouryaku/abilities/2760147533.html,・ゴールまで200m以内で、 やや長い時間、脚が少し速くなる,・2000、2200、3000、3200m ・東京競馬場、阪神競馬場、 京都競馬場 ・騎乗指示：逃げ,・自分,100%
荘厳,https://dabimas.jp/kouryaku/abilities/7411613245.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・天候が晴、雨 ・2000、3000、3200m ・中山競馬場、東京競馬場、 京都競馬場 ・騎乗指示：逃げ,・自分,100%
早春,https://dabimas.jp/kouryaku/abilities/7152546935.html,・ゴールまで200m以内で、 短い時間、脚が速くなる,・天候が晴、曇 ・1200～1800m ・中山競馬場、東京競馬場、 中京競馬場,・自分,100%
